distance,average_throughput,max_throughput,min_throughput,stdev_throughput
9.534904678001656,93.05,94.1,92.2,0.615088069574864
9.668726684004296,80.43,87.1,75.9,3.259873889857974
46.919685947527675,92.0,93.4,89.0,1.3992061241210243
231.50593409229262,76.85,83.9,49.9,9.692981424148552
302.05342700380675,57.03,65.5,31.4,9.68412790773301
343.8868557643528,90.37,93.8,85.0,2.7280640266191214
390.66419813693915,44.75,59.7,27.1,11.751524723768119
451.1849123037715,59.54,65.5,54.4,3.8338260552902277
459.38187889236355,68.36,82.5,37.7,12.265326013694956
484.69321256781643,63.42,71.1,57.4,4.419602797637915
504.68160567109044,51.13,77.8,0.0,26.94137874884819
